Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
Sleeping Dogs;PC;2012;Action;Square Enix ;0.12;81;23;8.2;1209;United Front Games;M
Stronghold;PC;2001;Strategy;Gathering of Developers;0.11;81;19;8.9;224;FireFly Studios;T
Wasteland 2;PC;2015;Role-Playing;inXile Entertainment;0.1;81;65;7.3;1170;InXile Entertainment;M
Football Manager 2017;PC;2016;Simulation;Sega;0.09;81;41;4.3;57;Sports Interactive;E
Age of Empires III: The Asian Dynasties;PC;2007;Strategy;Microsoft Game Studios;0.06;81;19;8.5;71;Big Huge Games;T
Blur;PC;2010;Racing;Activision;0.06;81;24;7.4;177;Bizarre Creations;E10+
The Witcher;PC;2007;Role-Playing;Atari;0.06;81;50;8.8;1116;CD Projekt Red Studio;M
The Sims 2: University;PC;2005;Simulation;Electronic Arts;0.06;81;31;7.8;49;Maxis;T
Mirror's Edge;PC;2009;Platform;Electronic Arts;0.06;81;44;8.1;1026;EA DICE;T
Empire Earth;PC;2001;Strategy;Vivendi Games;0.05;81;23;8.2;126;Stainless Steel Studios;T
Supreme Commander: Forged Alliance;PC;2007;Strategy;THQ;0.04;81;35;8.9;219;Gas Powered Games;E10+
Star Wars Jedi Knight: Jedi Academy;PC;2003;Shooter;Activision;0.03;81;34;8.6;293;Raven Software;T
Dungeon Defenders;PC;2011;Role-Playing;Unknown;0.02;81;26;7.3;399;Trendy Entertainment;E10+
Overlord;PC;2007;Strategy;Codemasters;0.02;81;27;8.1;220;Triumph Studios;T
Quake 4;PC;2005;Shooter;Activision;0.02;81;62;7.6;281;Raven Software;M
Painkiller;PC;2004;Shooter;DreamCatcher Interactive;0.02;81;62;8.1;284;People Can Fly;M
The Sims: Makin' Magic;PC;2003;Simulation;Electronic Arts;1.92;80;22;8.6;31;Maxis;T
Assassin's Creed III;PC;2012;Action;Ubisoft;0.93;80;21;6.2;1489;Ubisoft;M
Assassin's Creed: Revelations;PC;2011;Action;Ubisoft;0.74;80;20;7.4;771;Ubisoft Montreal;M
Far Cry 4;PC;2014;Shooter;Ubisoft;0.63;80;17;6.7;1064;Ubisoft Montreal;M
Football Manager 2015;PC;2014;Simulation;Sega;0.46;80;36;6;151;Sports Interactive;
Microsoft Flight Simulator X;PC;2006;Simulation;Microsoft Game Studios;0.43;80;28;7.6;95;Microsoft Game Studios;E
Company of Heroes 2;PC;2013;Strategy;THQ;0.34;80;82;2.1;6157;Relic;M
World of Tanks;PC;2011;Shooter;Wargaming.net;0.29;80;38;3.7;1466;Wargaming.net;T
Total War: Attila;PC;2015;Strategy;Sega;0.24;80;66;7.3;520;Creative Assembly;T
LEGO Harry Potter: Years 5-7;PC;N/A;Action;Warner Bros. Interactive Entertainment;0.22;80;5;8.5;44;Traveller's Tales;E10+
LEGO The Lord of the Rings;PC;2012;Action;Warner Bros. Interactive Entertainment;0.22;80;6;8.2;127;TT Games;E10+
Dead Island;PC;2011;Action;Deep Silver;0.22;80;24;6.8;1428;Techland;M
Driver: San Francisco;PC;2011;Racing;Ubisoft;0.18;80;11;7;332;Ubisoft Reflections;T
F1 2012;PC;2012;Racing;Codemasters;0.15;80;15;6.9;115;Codemasters;E
Pro Evolution Soccer 2013;PC;2012;Sports;Konami Digital Entertainment;0.08;80;8;6.9;182;Konami;E
Tomb Raider: Underworld;PC;2008;Action;Eidos Interactive;0.08;80;20;7.7;272;Nixxes Software;T
Goodbye Deponia;PC;2013;Adventure;Daedalic Entertainment;0.07;80;34;7.9;171;Daedalic Entertainment;
GRID 2;PC;2013;Racing;Codemasters;0.06;80;17;5.7;571;Codemasters;E
LEGO Batman: The Videogame;PC;2008;Action;Warner Bros. Interactive Entertainment;0.06;80;15;7.8;61;Traveller's Tales;E10+
S.T.A.L.K.E.R.: Call of Pripyat;PC;2009;Shooter;Namco Bandai Games;0.06;80;44;8.7;602;GSC Game World;M
Railroad Tycoon 3;PC;2003;Strategy;Gathering of Developers;0.04;80;19;7.7;57;PopTop Software;E
Trials Fusion;PC;2014;Racing;Ubisoft;0.03;80;12;6.8;97;RedLynx;E10+
Men of War;PC;2009;Strategy;505 Games;0.03;80;22;8.1;136;Best Way;M
Battlefield 2142;PC;2006;Shooter;Electronic Arts;0.03;80;48;6.8;326;EA DICE;T
Dungeon Siege II;PC;2005;Role-Playing;Microsoft Game Studios;0.03;80;51;7.9;159;Gas Powered Games;M
Syberia II;PC;2004;Adventure;MC2 Entertainment;0.02;80;23;8.3;150;Microids;T
Codename: Panzers Phase Two;PC;2005;Strategy;CDV Software Entertainment;0.01;80;36;8.1;15;Stormregion;T
The Chronicles of Riddick: Assault on Dark Athena;PC;2009;Shooter;Vivendi Games;0.01;80;26;8;136;Starbreeze;M
Trine;PC;2009;Action;Nobilis;0.01;80;50;8.2;488;Frozenbyte, Inc.;E10+
Metal Gear Solid V: Ground Zeroes;PC;2014;Action;Konami Digital Entertainment;0.01;80;20;7.6;412;Kojima Productions;M
The Sims: Unleashed;PC;2002;Simulation;Electronic Arts;3.76;79;21;8;29;Maxis;T
The Sims: Superstar;PC;2003;Simulation;Electronic Arts;1.68;79;20;8.2;25;Maxis;T
Tom Clancy's The Division;PC;2016;Shooter;Ubisoft;0.41;79;33;5.8;1188;Massive Entertainment;M
Rage;PC;2011;Shooter;Bethesda Softworks;0.37;79;32;5.2;1618;id Software;M
The Settlers 7: Paths to a Kingdom;PC;2010;Strategy;Ubisoft;0.31;79;33;5.2;213;Blue Byte;E10+
1701 A.D.;PC;2006;Simulation;Deep Silver;0.3;79;30;8.3;38;Related Designs;E10+
Hitman: Absolution;PC;2012;Action;Square Enix;0.24;79;26;7;1327;Io Interactive, Nixxes Software;M
Tom Clancy's Rainbow Six: Siege;PC;2015;Shooter;Ubisoft;0.23;79;37;6.9;734;Ubisoft Montreal;M
Euro Truck Simulator 2;PC;2012;Action;SCS Software;0.13;79;17;8.7;992;SCS Software;
Star Wars: Empire at War;PC;2006;Strategy;LucasArts;0.08;79;45;8.4;240;Petroglyph;T
F.E.A.R. 2: Project Origin;PC;2009;Shooter;Warner Bros. Interactive Entertainment;0.07;79;49;7.8;520;Monolith Productions;M
pro evolution soccer 2011;PC;2010;Sports;Konami Digital Entertainment;0.06;79;9;;;Konami;
Payday 2;PC;2013;Shooter;505 Games;0.05;79;51;3.4;3558;Overkill Software;M
Worms Reloaded;PC;2010;Strategy;Team17 Software;0.05;79;28;6.8;185;Team 17;E10+
Silent Hunter: Wolves of the Pacific;PC;2007;Simulation;Ubisoft;0.05;79;22;6.9;40;Ubisoft Romania;T
Tropico 3;PC;2009;Strategy;Kalypso Media;0.04;79;48;8.1;184;Haemimont;T
Runaway: A Twist of Fate;PC;2009;Adventure;Focus Home Interactive;0.04;79;15;8.2;40;Pendulo Studios;T
Split/Second;PC;2010;Racing;Disney Interactive Studios;0.04;79;18;8.2;116;Black Rock Studio;E10+
Overlord II;PC;2009;Action;Codemasters;0.03;79;32;8.1;159;Triumph Studios;T
Empire Earth II;PC;2005;Strategy;Vivendi Games;0.03;79;39;7.1;89;Mad Doc Software;T
LEGO Harry Potter: Years 1-4;PC;2010;Action;Warner Bros. Interactive Entertainment;0.03;79;15;7.9;55;Traveller's Tales;E10+
Brothers in Arms: Hell's Highway;PC;2008;Shooter;Ubisoft;0.02;79;22;7.9;130;Gearbox Software;M
Street Fighter X Tekken;PC;2012;Fighting;Capcom;0.02;79;8;6.4;134;Capcom, QLOC;T
Test Drive Unlimited;PC;2007;Racing;Atari;0.02;79;18;8.1;124;Eden Studios;T
Guitar Hero III: Legends of Rock;PC;2007;Misc;Aspyr;0.02;79;15;7.2;63;Aspyr;T
Uru: Ages Beyond Myst;PC;2003;Adventure;Ubisoft;0.02;79;22;7.6;29;Cyan Worlds;E
FlatOut: Ultimate Carnage;PC;2008;Racing;Empire Interactive;0.01;79;16;7.7;127;Bugbear;T
TrackMania Turbo;PC;2016;Action;Ubisoft;0.01;79;13;6.8;42;Nadeo;E
Call of Duty: Modern Warfare 3;PC;2011;Shooter;Activision;1.72;78;26;2.5;5664;Infinity Ward, Sledgehammer Games;M
The Sims 2: Open for Business;PC;2006;Simulation;Electronic Arts;0.52;78;29;8.6;35;Maxis;T
Call of Duty: Advanced Warfare;PC;2014;Shooter;Activision;0.41;78;18;4.5;1136;Sledgehammer Games;M
Tropico 4;PC;2011;Strategy;Kalypso Media;0.27;78;46;7.7;359;Haemimont;T
Dead Space 3;PC;N/A;Action;Electronic Arts;0.19;78;16;6;1096;Visceral Games;M
Star Wars: Battlefront II;PC;2005;Shooter;LucasArts;0.17;78;23;8.8;431;Pandemic Studios;T
LEGO Marvel Super Heroes;PC;2013;Action;Warner Bros. Interactive Entertainment;0.17;78;7;8.1;124;TT Games;E10+
Dead Rising 2;PC;2010;Action;Capcom;0.14;78;17;6.3;211;Blue Castle Games;M
Rocksmith;PC;N/A;Misc;Unknown;0.12;78;5;8.1;57;Ubisoft;T
The Sims 2: Seasons;PC;2007;Simulation;Electronic Arts;0.07;78;20;7.3;29;Maxis;T
Medal of Honor: Airborne;PC;2007;Shooter;Electronic Arts;0.05;78;38;7.3;204;Electronic Arts;T
Bejeweled Twist;PC;2008;Puzzle;PopCap Games;0.05;78;12;7.3;11;PopCap;E
Star Wars: Republic Commando;PC;2005;Shooter;LucasArts;0.05;78;34;8.7;279;LucasArts;T
Need for Speed Carbon;PC;2006;Racing;Electronic Arts;0.05;78;17;7.2;249;Black Box;E10+
Praetorians;PC;2003;Strategy;Eidos Interactive;0.04;78;23;8.2;38;Pyro Studios;T
LEGO Indiana Jones: The Original Adventures;PC;2008;Action;LucasArts;0.04;78;14;7.7;35;Traveller's Tales;E10+
Stellaris;PC;2016;Strategy;Paradox Interactive;0.04;78;57;8;569;Paradox Development Studio;
Devil May Cry 4;PC;2008;Action;Capcom;0.04;78;21;8.5;353;Capcom;M
Call of Juarez: Bound in Blood;PC;2009;Shooter;Ubisoft;0.03;78;39;8;282;Techland;M
GRID Autosport;PC;2014;Racing;Codemasters;0.02;78;35;6.2;257;Codemasters;E
Viva Pinata;PC;2007;Simulation;Microsoft Game Studios;0.02;78;20;7.8;20;Climax Group, Climax Studios;E
Tom Clancy's Rainbow Six: Vegas 2;PC;2008;Shooter;Ubisoft;0.02;78;20;7.3;185;Ubisoft Montreal;M
Tropico 4: Modern Times;PC;2012;Strategy;Kalypso Media;0.02;78;11;8;58;Haemimont;T
Plants vs. Zombies: Garden Warfare;PC;2014;Shooter;Electronic Arts;0.02;78;11;7.8;186;PopCap;E10+
Ride 2;PC;2016;Racing;Milestone S.r.l;0.01;78;4;7.9;14;Milestone S.r.l;E
Pro Evolution Soccer 2010;PC;2009;Sports;Konami Digital Entertainment;0.01;78;8;6.9;49;Konami;E
Transformers: Fall of Cybertron;PC;2012;Action;Activision;0.01;78;13;7.9;121;High Moon Studios, Mercenary Technologies;T
The Sims: Medieval;PC;2011;Simulation;Electronic Arts;0.69;77;56;6.1;173;The Sims Studio;T
Watch Dogs;PC;2014;Action;Ubisoft;0.45;77;18;4.7;3288;Ubisoft Montreal;M
TERA;PC;N/A;Role-Playing;Unknown;0.42;77;41;6.8;742;Bluehole Studio;M
Mafia II;PC;2010;Action;Take-Two Interactive;0.4;77;46;7.9;1238;2K Czech;M
Supreme Commander 2;PC;2010;Strategy;Square Enix;0.19;77;54;6.2;803;Gas Powered Games;E10+
Evolve;PC;2015;Shooter;Take-Two Interactive;0.19;77;39;4.3;969;Turtle Rock Studios;M
ArmA II;PC;2009;Shooter;505 Games;0.14;77;38;7.5;589;Bohemia Interactive;M
Risen;PC;2009;Role-Playing;Deep Silver;0.14;77;32;8.1;676;Piranha Bytes;M
The Darkness II;PC;2012;Shooter;Take-Two Interactive;0.14;77;20;7.6;448;Digital Extremes;M
Lost Horizon;PC;2010;Adventure;Deep Silver;0.11;77;24;7.9;27;Animation Arts;T
Sonic Generations;PC;2011;Platform;Sega;0.11;77;11;8.3;337;Sega;E
The Sims 4: City Living;PC;2016;Simulation;Electronic Arts;0.1;77;10;5.7;30;Maxis;T
Pro Evolution Soccer 2012;PC;2011;Action;Konami Digital Entertainment;0.09;77;13;6.4;88;Konami;
Hearts of Iron III;PC;2009;Strategy;Paradox Interactive;0.07;77;23;7.1;233;Paradox Development Studio;E10+
Titan Quest;PC;2006;Role-Playing;THQ;0.06;77;51;8.1;387;Iron Lore Entertainment;T
Men of War: Assault Squad;PC;2011;Strategy;1C Company;0.05;77;21;8.2;93;THQ, 1C, 1C Company;T
Heroes of Might and Magic V;PC;2006;Strategy;Ubisoft;0.04;77;41;7.9;349;Nival Interactive;T
Resident Evil: Revelations;PC;2013;Action;Capcom;0.04;77;12;7;342;Capcom;M
The Void;PC;2008;Adventure;Mamba Games;0.03;77;12;8.3;97;Ice-Pick Lodge;
Knights of Honor;PC;2004;Strategy;Sunflowers;0.03;77;26;9.1;89;Black Sea Studios;E10+
FIFA Soccer 09;PC;2008;Sports;Electronic Arts;0.02;77;15;6.8;36;EA Canada;E
FIFA Soccer 08;PC;2007;Sports;Electronic Arts;0.02;77;7;6.1;50;EA Canada;E
Harry Potter and the Chamber of Secrets;PC;2002;Action;Electronic Arts;0.01;77;8;8.4;93;KnowWonder;E
The Sims 2: Nightlife;PC;2005;Simulation;Electronic Arts;1.27;76;31;6.6;71;Maxis;T
Total War: Rome II;PC;2013;Strategy;Sega;0.72;76;71;4.2;3742;Creative Assembly;T
Crysis 3;PC;2013;Shooter;Electronic Arts;0.63;76;47;6.5;1223;Crytek;M
R.U.S.E.;PC;2010;Strategy;Ubisoft;0.27;76;33;8.1;176;Eugen Systems;T
LEGO Star Wars III: The Clone Wars;PC;2011;Action;LucasArts;0.25;76;14;7.5;44;Traveller's Tales;E10+
Need for Speed Rivals;PC;2013;Racing;Electronic Arts;0.25;76;16;3.3;546;Ghost Games;E10+
Spec Ops: The Line;PC;2012;Shooter;Take-Two Interactive;0.23;76;16;8.2;1237;Yager;M
Two Worlds II;PC;2011;Role-Playing;Unknown;0.2;76;31;6.5;315;Reality Pump;M
Red Orchestra 2: Heroes of Stalingrad;PC;2011;Shooter;Tripwire Interactive;0.14;76;49;7.3;729;Tripwire Interactive;M
[Prototype 2];PC;2012;Action;Activision;0.11;76;12;6.4;389;Radical Entertainment;M
Wolfenstein: The Old Blood;PC;2015;Action;Bethesda Softworks;0.09;76;30;7.6;338;MachineGames;M
The Saboteur;PC;2009;Action;Electronic Arts;0.06;76;20;8;236;Pandemic Studios;M
The Lost Chronicles of Zerzura;PC;2012;Adventure;DTP Entertainment;0.05;76;9;6.7;15;Cranberry Production;
Mortal Kombat X;PC;2015;Fighting;Warner Bros. Interactive Entertainment;0.05;76;10;5.1;475;High Voltage Software;M
Operation Flashpoint: Dragon Rising;PC;2009;Shooter;Codemasters;0.05;76;29;4.9;539;Codemasters;M
Singularity;PC;2010;Shooter;Mastertronic;0.05;76;36;7.7;326;Raven Software;M
Pro Evolution Soccer 2016;PC;2015;Sports;Konami Digital Entertainment;0.04;76;12;4.3;286;Konami;E
The Sims 2: Pets;PC;2006;Simulation;Electronic Arts;0.04;76;23;7.7;40;Maxis;T
Lock On: Modern Air Combat;PC;2003;Simulation;Ubisoft;0.03;76;20;7.5;549;Eagle Dynamics;E
Resident Evil 4;PC;2007;Action;Ubisoft;0.03;76;15;7.4;242;Capcom;M
Demigod;PC;2009;Strategy;Atari;0.02;76;50;7.9;183;Gas Powered Games;T
Heroes of the Pacific;PC;2005;Simulation;Codemasters;0.02;76;18;6.7;19;IR Gurus;T
Peggle Nights;PC;2008;Puzzle;PopCap Games;0.02;76;15;8.1;24;PopCap;E
Pirates of the Burning Sea;PC;2008;Role-Playing;Koch Media;0.02;76;30;7.6;61;Flying Lab Software;T
Sniper Elite;PC;2005;Shooter;MC2 Entertainment;0.02;76;13;8;142;Rebellion;M
Battlestations: Midway;PC;2007;Strategy;Eidos Interactive;0.01;76;20;7.3;46;Eidos Interactive;T
The Sims: Vacation;PC;2002;Simulation;Electronic Arts;3.07;75;18;7.8;22;Maxis;T
Fable III;PC;2011;Role-Playing;Microsoft Game Studios;0.32;75;39;5.4;555;Lionhead Studios;M
Borderlands: The Pre-Sequel;PC;2014;Shooter;Take-Two Interactive;0.29;75;55;6.2;703;2K Australia;M
Dying Light;PC;2015;Action;Warner Bros. Interactive Entertainment;0.2;75;40;7.9;1295;Techland;M
Alice: Madness Returns;PC;2011;Adventure;Electronic Arts;0.12;75;29;8.4;559;Spicy Horse;M
Tropico 5;PC;2014;Simulation;Kalypso Media;0.12;75;51;7;351;Haemimont;T
Stronghold Kingdoms;PC;2011;Strategy;DTP Entertainment;0.11;75;4;4.9;89;FireFly Studios;
Red Faction: Armageddon;PC;2011;Shooter;THQ;0.09;75;29;6.7;273;Volition Inc.;M
The Sims 2: Apartment Life;PC;2008;Simulation;Electronic Arts;0.09;75;10;7.7;19;Electronic Arts;T
The Next BIG Thing;PC;2011;Adventure;Focus Home Interactive;0.06;75;30;7.9;35;Pendulo Studios;E10+
City Life: World Edition;PC;2007;Simulation;Monte Christo Multimedia;0.04;75;7;8.2;9;Monte Cristo Multimedia;E
Port Royale 2;PC;2004;Strategy;Ascaron Entertainment GmbH;0.04;75;20;7.7;40;Ascaron Entertainment GmbH;T
S.T.A.L.K.E.R.: Clear Sky;PC;2008;Shooter;Deep Silver;0.04;75;47;7.7;478;GSC Game World;M
The Night of the Rabbit;PC;2013;Adventure;Daedalic Entertainment;0.03;75;45;7.5;82;Daedalic Entertainment;
Prince of Persia: The Forgotten Sands;PC;2010;Action;Ubisoft;0.03;75;16;6.6;218;Ubisoft Montreal;T
Star Wars: Empire at War - Forces of Corruption;PC;2006;Strategy;LucasArts;0.02;75;25;8.6;79;Petroglyph;T
Just Cause;PC;2006;Action;Eidos Interactive;0.02;75;21;7.3;206;Avalanche Studios;M
Worms World Party;PC;2001;Strategy;Virgin Interactive;0.02;75;8;7.6;68;Team 17;E
A Vampyre Story;PC;2008;Adventure;Crimson Cow;0.02;75;33;8.5;25;Autumn Moon;T
Evil Genius;PC;2004;Strategy;Vivendi Games;0.02;75;51;8.3;106;Elixir Studios;T
BattleForge;PC;2009;Strategy;Electronic Arts;0.01;75;37;7;112;EA Phenomic;T
The Sims: House Party;PC;2001;Simulation;Electronic Arts;2.16;74;17;7.9;30;Maxis;T
The Sims 3: Late Night Expansion Pack;PC;2010;Simulation;Electronic Arts;1.7;74;17;5.3;77;The Sims Studio;T
Call of Duty: Black Ops II;PC;2012;Shooter;Activision;1.53;74;11;4.2;1635;Treyarch;M
RollerCoaster Tycoon 2;PC;2002;Strategy;Atari;1.25;74;22;8.5;135;Chris Sawyer;E
The Sims 3: Ambitions;PC;2010;Simulation;Electronic Arts;0.46;74;25;7.3;51;EA Redwood Shores;T
Batman: Arkham Origins;PC;2013;Action;Warner Bros. Interactive Entertainment;0.31;74;17;7.5;1170;Iron Galaxy Studios;T
Assassin's Creed Syndicate;PC;2015;Action;Ubisoft;0.21;74;14;5.9;544;Ubisoft Quebec;M
The Secret World;PC;2012;Role-Playing;Funcom;0.17;74;55;8.2;1326;Funcom;M
Far Cry: Primal;PC;2016;Action;Ubisoft;0.16;74;18;4.8;368;Ubisoft Montreal;M
F.E.A.R. 3;PC;2011;Shooter;Warner Bros. Interactive Entertainment;0.15;74;34;5.9;420;Day 1 Studios;M
Deponia;PC;2012;Adventure;Daedalic;0.15;74;33;8.2;307;Daedalic Entertainment;
Just Cause 3;PC;2015;Action;Square Enix;0.14;74;50;5.3;529;Avalanche Studios;M
ArmA III;PC;2013;Shooter;Bohemia Interactive;0.11;74;38;7.4;866;Bohemia Interactive;M
Pro Evolution Soccer 2014;PC;2013;Action;Konami Digital Entertainment;0.1;74;9;4.4;239;Konami;E
Major League Baseball 2K11;PC;2011;Sports;Take-Two Interactive;0.08;74;5;5.9;16;Visual Concepts;E
Assassin's Creed: Rogue;PC;2015;Action;Ubisoft;0.08;74;25;7.5;362;Ubisoft;M
Mirror's Edge Catalyst;PC;2016;Platform;Electronic Arts;0.06;74;24;4.4;606;EA DICE;T
Street Fighter V;PC;2016;Fighting;Capcom;0.06;74;33;2.9;431;Capcom;T
Wolfenstein;PC;2009;Shooter;Activision;0.05;74;41;7.3;261;id Software, Raven Software;M
Caesar IV;PC;2006;Strategy;Vivendi Games;0.04;74;32;7.6;43;Tilted Mill;E10+
Transformers: Devastation;PC;2015;Action;Activision;0.03;74;9;7.6;56;PlatinumGames;T
Rayman 3: Hoodlum Havoc;PC;2003;Platform;Ubisoft;0.03;74;8;8.3;70;Ubisoft;E
Cossacks: European Wars;PC;2001;Strategy;Strategy First;0.03;74;16;8.6;60;GSC Game World;T
Magicka;PC;2011;Role-Playing;Paradox Interactive;0.03;74;44;7.6;602;Arrowhead Game Studios;T
The Sims 2: Bon Voyage;PC;2007;Simulation;Electronic Arts;0.03;74;9;7.3;24;Maxis;T
Battlestations: Pacific;PC;2009;Strategy;Eidos Interactive;0.03;74;31;8.4;46;Eidos Interactive;T
Mini Ninjas;PC;2009;Action;Eidos Interactive;0.02;74;14;8.3;78;Io Interactive;E10+
Vietcong;PC;2003;Shooter;Gathering of Developers;0.02;74;22;8.7;76;Pterodon;T
The Crew: Wild Run;PC;2015;Action;Ubisoft;0.02;74;6;7.4;41;Ivory Tower;T
Serious Sam II;PC;2005;Shooter;Take-Two Interactive;0.01;74;31;7;152;Croteam;M
Sega Rally Revo;PC;2007;Racing;Sega;0.01;74;9;7.6;18;SEGA Racing Studio;E
The Sims 3: Seasons;PC;2012;Simulation;Electronic Arts;0.16;73;12;7.5;48;The Sims Studio;T
Call of Duty: Infinite Warfare;PC;2016;Shooter;Activision;0.14;73;16;3;440;Infinity Ward;M
The Testament of Sherlock Holmes;PC;2012;Adventure;Focus Home Interactive;0.07;73;18;8;128;Frogwares;M
Scarface: The World is Yours;PC;2006;Action;Vivendi Games;0.04;73;18;7.5;57;Radical Entertainment;M
RACE On;PC;2009;Racing;bitComposer Games;0.03;73;14;8.2;20;SimBin;E
Song of the Deep;PC;2016;Action;Insomniac Games;0.03;73;12;6.3;15;Insomniac Games;E
Lords of the Fallen;PC;2014;Role-Playing;Square Enix;0.03;73;36;6.9;583;City Interactive, Deck 13;M
LEGO Pirates of the Caribbean: The Video Game;PC;2011;Action;Disney Interactive Studios;0.03;73;11;6.6;17;Traveller's Tales;E10+
Warhammer: Mark of Chaos;PC;2006;Strategy;Deep Silver;0.03;73;32;7.4;57;Black Hole Games;M
X3: Terran Conflict;PC;2008;Simulation;Deep Silver;0.03;73;16;7.9;222;Egosoft;T
Ceville;PC;2009;Action;Kalypso Media;0.02;73;17;8.2;21;Boxed Dream;E
Frontlines: Fuel of War;PC;2008;Shooter;THQ;0.02;73;19;6.9;171;Kaos Studios;T
Lara Croft and the Temple of Osiris;PC;2014;Action;Square Enix;0.02;73;17;5.4;52;Nixxes Software;T
Blood Bowl: Legendary Edition;PC;2010;Sports;Focus Home Interactive;0.02;73;13;6.4;75;Cyanide;T
Medal of Honor;PC;2010;Shooter;Electronic Arts;0.49;72;26;6.4;516;Dice, Danger Close;M
Anno 2205;PC;2015;Strategy;Ubisoft;0.25;72;45;5.9;278;Blue Byte;E10+
DC Universe Online;PC;2011;Role-Playing;Sony Online Entertainment;0.23;72;27;6.8;243;WBIE;T
The Sims 4: Get Together;PC;2015;Simulation;Electronic Arts;0.22;72;16;7.3;117;Maxis;T
Star Wars: Battlefront;PC;2004;Shooter;LucasArts;0.21;72;19;3.5;1509;EA DICE;T
Test Drive Unlimited 2;PC;N/A;Racing;Atari;0.19;72;19;5.7;253;Eden;T
Dungeon Siege III;PC;2011;Role-Playing;Square Enix;0.17;72;37;4.7;399;Obsidian Entertainment;T
Halo 2;PC;2007;Shooter;Microsoft Game Studios;0.09;72;32;5.6;216;Microsoft Game Studios;M
Gray Matter;PC;2011;Adventure;DTP Entertainment;0.08;72;27;7.7;80;Wizarbox;T
Serious Sam 3: BFE;PC;2011;Shooter;Mastertronic;0.08;72;53;8.2;586;Croteam;
Divinity II: Ego Draconis;PC;2009;Role-Playing;DTP Entertainment;0.07;72;43;7.7;125;Larian Studios;M
Zoo Tycoon 2;PC;2004;Strategy;Microsoft Game Studios;0.06;72;34;8.1;43;Blue Fang Games;E
FIFA Soccer 10;PC;2009;Sports;Electronic Arts;0.05;72;14;3.8;59;EA Sports;E
FIFA Manager 12;PC;2011;Sports;Electronic Arts;0.05;72;11;3.9;24;Bright Future GmbH;E
Blood Bowl;PC;2009;Sports;Focus Home Interactive;0.04;72;34;6.5;57;Cyanide;T
LEGO Jurassic World;PC;2015;Action;Warner Bros. Interactive Entertainment;0.04;72;8;7.1;31;TT Games;E10+
Saints Row 2;PC;2009;Action;THQ;0.04;72;24;6.8;380;Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre;M
Section 8;PC;2009;Shooter;SouthPeak Games;0.03;72;31;7;78;TimeGate Studios;T
Alpha Protocol;PC;2010;Role-Playing;Sega;0.03;72;25;7.5;511;Obsidian Entertainment;M
The Inner World;PC;2013;Adventure;Headup Games;0.03;72;18;8.1;48;Headup Games;
Bully: Scholarship Edition;PC;2008;Action;Take-Two Interactive;0.03;72;11;7.5;257;Mad Doc Software, Rockstar Vancouver;T
Divinity II: Flames of Vengeance;PC;2010;Role-Playing;DTP Entertainment;0.03;72;4;8.3;15;Larian Studios;M
Jurassic Park: Operation Genesis;PC;2003;Simulation;Vivendi Games;0.02;72;15;8.7;55;Blue Tongue Entertainment;T
Ridge Racer Unbounded;PC;2012;Racing;Namco Bandai Games;0.02;72;9;6;83;Bugbear;T
Commandos 3: Destination Berlin;PC;2003;Strategy;Eidos Interactive;0.02;72;24;7.6;83;Pyro Studios;T
Dungeons - The Dark Lord;PC;2011;Strategy;Kalypso Media;0.02;72;6;5.6;16;Kalypso;M
Majesty 2: The Fantasy Kingdom Sim;PC;2009;Simulation;Paradox Interactive;0.02;72;31;7.3;129;1C, Ino-Co, 1C Company;T
Valentino Rossi: The Game;PC;2016;Racing;Namco Bandai Games;0.01;72;4;6.2;14;Milestone, Milestone S.r.l;E
Call of Juarez;PC;2006;Shooter;Ubisoft;0.01;72;25;7.8;223;Techland;M
Impossible Creatures;PC;2002;Strategy;Microsoft Game Studios;0.01;72;30;8;39;Relic;T
Rail Simulator;PC;2007;Simulation;Electronic Arts;0.01;72;13;6.9;24;Kuju Entertainment;E
Cities: Skylines Snowfall;PC;2016;Simulation;Paradox Development;0.01;72;16;7.1;20;Colossal Order;
The Elder Scrolls Online;PC;2014;Role-Playing;Bethesda Softworks;0.9;71;64;5.7;2421;ZeniMax Media;M
Tom Clancy's Ghost Recon: Future Soldier;PC;2012;Shooter;Ubisoft;0.17;71;13;4.9;368;Ubisoft Paris;M
The Crew;PC;2014;Racing;Ubisoft;0.16;71;12;6.4;463;Ubisoft Reflections, Ivory Tower;T
Battlefield: Hardline;PC;2015;Shooter;Electronic Arts;0.14;71;31;3.8;773;Visceral Games;M
Sacred 2: Fallen Angel;PC;2008;Role-Playing;Ascaron Entertainment GmbH;0.06;71;41;6.9;203;Ascaron Entertainment GmbH, Ascaron Entertainment;M
DarkStar One;PC;2006;Simulation;Ubisoft;0.03;71;33;7.2;54;Ascaron Entertainment GmbH;T
ParaWorld;PC;2006;Strategy;Deep Silver;0.02;71;29;8.3;23;SEK Ost;T
Kung Fu Panda;PC;2008;Action;Activision;0.02;71;11;7.8;12;Beenox;E10+
Elven Legacy;PC;2009;Strategy;Paradox Interactive;0.02;71;27;7.1;38;1C:Ino-Co;T
Post Mortem;PC;2003;Adventure;Microids;0.02;71;25;8;28;Microids;M
